Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
5032,5,1.4,5,1.5,,,5,1.4,1,2.0,1,1.6,1,2.1,2,2.9,2,0.7,2,-1,2,0.8
5033,5,0.8,5,0.9,5,1.0,5,1.1,1,1.5,1,1.5,1,1.8,2,1.8,,,1,-1,,
5035,5,1.8,5,1.9,,,2,2.0,2,-1.0,1,-1.0,1,0.4,2,0.9,2,1.1,2,0.3,2,0.6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
