Plot,Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
1,4063,2,23.5,2,24,3,22.8,2,22.7,3,23.2,3,23.5,3,23.6,3,24.1,2,24.1,2,1.6,2,1.8
1,4064,2,29.5,2,29.9,2,30,2,30,2,29.8,3,3.5,3,4,3,4.6,3,4.7,2,1.5,3,0.5
1,4065,5,42.4,5,43.3,4,43.5,2,43.2,3,44.5,3,45.2,3,45.8,3,1.5,2,0.5,2,1.1,2,-1
1,4066,5,6.5,2,6.9,5,7.1,5,7.5,3,8.8,3,9.2,3,9.6,3,10.6,3,9.9,2,1.7,2,1.7
1,4067,5,11.2,2,11.4,5,11.6,5,11.7,2,11.6,2,0.4,2,0.8,2,-1,3,0.3,0,,0,
1,4068,2,61.5,2,61,3,65,2,62.5,3,61.5,3,64.4,3,63,3,64.2,3,61.5,3,61.7,3,61.9
1,4069,2,46.2,2,47.9,5,64.5,3,49.2,2,50.5,3,50,3,49.6,3,49.6,3,49,1,2.6,2,3.4
1,4070,5,13.4,5,14.2,2,16,2,15.4,2,1.8,3,2,3,1.9,3,2.6,3,2.8,1,-1,2,0.3
1,4071,5,16.7,5,17.7,5,18.2,2,18.6,2,18.8,3,18.7,3,18.9,3,1.3,3,1.6,0,,0,
1,4072,5,7.7,5,8.1,5,8.3,5,8.3,2,9.2,3,9,3,9,3,9.1,3,9.2,1,0.5,2,0.2
1,4073,5,21,5,22.4,5,22.5,2,23,2,0.6,2,0.5,1,0.9,2,1,2,1.2,2,1.3,1,-1
2,29,3,26.9,3,27.5,3,27.5,4,0.3,2,1,1,0.6,1,0.7,3,0.8,2,0.9,1,0.9,0,
2,34,3,51.3,3,52.4,3,51.8,3,52.8,3,54,3,53.7,3,54.4,3,56,3,54.2,3,56,3,54.9
